available;categoryId;currencyId;delivery;description;id;modified_time;name;oldprice;pickup;picture;price;shop-sku;type;url;vendor;vendorCode;weight
true;Сантехника/Смесители/Для ванны и душа;RUB;true;"Производитель - HANSGROHE
Страна производитель - Германия
Цвет - Хром
Цветовая гамма - Хром
Тип монтажа - Настенный
Тип регулировки воды - Однорычажный
Материал - Латунь";79460;1657693026;Hansgrohe PuraVida 15672400 Смеситель для душа;;true;https://santehmoll.ru/wa-data/public/shop/products/60/94/79460/images/82380/82380.970.jpg;63500.00;15672400;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fhansgrohe-puravida-15672400-smesitel-dlya-dusha%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Hansgrohe;15672400;4.304
true;Сантехника/Инсталляционные системы/Панели смыва для унитаза;RUB;true;;11881;1657693026;Накладная панель Grohe Skate Air 38505000;;true;https://santehmoll.ru/wa-data/public/shop/products/81/18/11881/images/560112/560112.970.jpg;4932.00;38505000;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2F38505000-grohe-skate-air-nakladnaya-panel%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Grohe;38505000;0.400
true;Сантехника/Санфаянс;RUB;true;Jacob Delafon Kandel / Panache E70008-00 крышка-сиденье со встроенной функцией микролифт имеет бытовое предназначение. Данное приспособление изготовлено из современного материала – термодюр. Размеры крышки-сиденья (ш*в*г): 36*0*42 см. Изделие имеет овальную форму и выполнено в современном стиле, поэтому можно устанавливать в помещениях любого дизайна. Прибор является оптимальным решением для использования в бытовых условиях.;22204;1657693026;Крышка-сиденье с микролифтом Jacob Delafon Kandel / Panache E70008-00;;true;https://santehmoll.ru/wa-data/public/shop/products/04/22/22204/images/181977/181977.970.jpg;10630.00;E70008-00;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fe70008-00-kryshka-sidene-kandelpanache-mikrbel%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Jacob Delafon;E70008-00;3.000
true;Сантехника/Смесители/Для ванны и душа;RUB;true;"С креплением рукоятки Boltic
Индивидуально настраиваемый ограничитель температуры воды
Расход воды около 22л/мин
Штихмас 150±16 мм
Защита от обратного потока воды";41011;1657693026;Смеситель для душа Hansgrohe Talis S 32620000;;true;https://santehmoll.ru/wa-data/public/shop/products/11/10/41011/images/95166/95166.970.jpg;14990.00;32620000;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fhg---32-620-000---talis-s---dush%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Hansgrohe;32620000;2.481
true;Сантехника/Смесители/Для умывальника;RUB;true;;6307;1657693026;Смеситель для  раковины Hansgrohe PuraVida 15075000;;true;https://santehmoll.ru/wa-data/public/shop/products/07/63/6307/images/669813/669813.970.jpg;67373.00;15075000;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fhansgrohe-puravida-15075000-smesitel-dlya-rakovini%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Hansgrohe;15075000;1.910
true;Сантехника/Шторки для ванн;RUB;true;;182678;1657693026;Шторка для ванны 111.5 см прозрачный Jacob Delafon BAIN-DOUCHE NEO E4930-GA;;true;https://santehmoll.ru/wa-data/public/shop/products/78/26/182678/images/586980/586980.970.jpg;62940.00;E4930-GA;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fe4930_ga_ekran_d_vanny_bain_douche_neo_khrom_%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Jacob Delafon;E4930-GA;18.000
true;Сантехника/Ванны;RUB;true;;202111;1657693026;Ножки Kaldewei 5032 универсальные 581670000000;8709.00;true;https://santehmoll.ru/wa-data/public/shop/products/11/21/202111/images/271163/271163.970.jpg;7165.00;581670000000;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fkaldewei_komplekt_universalnykh_nozhek_dlya_stalnykh_vann_5032_originalnye_classic_duo_oval_180x80_19%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;581670000000;
true;Сантехника/Ванны;RUB;true;;399751;1657693026;Стальная ванна 180х80 см Kaldewei Conoduo 733 с покрытием Easy-Clean;222882.00;true;https://santehmoll.ru/wa-data/public/shop/products/51/97/399751/images/271290/271290.970.jpg;162990.00;235100013001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fconoduo_mod_733_180_80_sm_v_ott%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;235100013001;57.600
true;Сантехника/Ванны;RUB;true;;384342;1657693026;Стальная ванна 180х80 см Kaldewei Puro 653 Standard;120508.00;true;https://santehmoll.ru/wa-data/public/shop/products/42/43/384342/images/271981/271981.970.jpg;88126.00;256300010001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fpuro_mod_653_180kh80_sm%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;256300010001;57.300
true;Сантехника/Ванны;RUB;true;;598919;1657693026;Стальная ванна 170х75 см Kaldewei Puro 652 с покрытием Easy-Clean;121741.00;true;https://santehmoll.ru/wa-data/public/shop/products/19/89/598919/images/271878/271878.970.jpg;59306.00;256200013001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fpuro_mod652_170_75_sm_v_ott_pokr%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;256200013001;52.700
true;Сантехника/Ванны;RUB;true;;387261;1657693026;Стальная ванна 180х80 см Kaldewei Puro 653 с покрытием Easy-Clean;134345.00;true;https://santehmoll.ru/wa-data/public/shop/products/61/72/387261/images/271983/271983.970.jpg;98244.00;256300013001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fpuro_mod_653_180kh80_sm_v_o%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;256300013001;57.300
true;Сантехника/Ванны;RUB;true;;511876;1657693026;Стальная ванна 170х75 см Kaldewei Puro 652 Standard;107906.00;true;https://santehmoll.ru/wa-data/public/shop/products/76/18/511876/images/271876/271876.970.jpg;50046.00;256200010001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fpuro_mod652_170_75_sm%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;256200010001;52.700
true;Сантехника/Ванны;RUB;true;;538502;1657693026;Стальная ванна 180х80 см Kaldewei Cayono Duo 725 Standard;;true;https://santehmoll.ru/wa-data/public/shop/products/02/85/538502/images/272817/272817.970.jpg;78936.00;272500010001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2F272500010001%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;272500010001;55.100
